github.com/AlDanial/cloc v 2.04  T=0.65 s (875.0 files/s, 347565.0 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                      blank        comment           code
./GameSpace/Areas/Admin/Views/RBAC/ManagerRoles.cshtml                                                                                        2              0            108
./GameSpace/Areas/social_hub/Views/Mutes/Index.cshtml                                                                                         5              0            108
./GameSpace/Areas/social_hub/Controllers/MutesController.cs                                                                                  28             14            107
./GameSpace/GameSpace.Infrastructure/Repositories/LeaderboardReadOnlyRepository.cs                                                           16             28            107
./GameSpace/obj/GameSpace.csproj.nuget.dgspec.json                                                                                            0              0            106
./GameSpace/Views/Forum/CreateThread.cshtml                                                                                                  11              2            103
./My_Own_Source_Of_Data/CONTRIBUTING_AGENT.txt                                                                                                1              0            102
./GameSpace/Areas/social_hub/Views/Shared/_TopbarLevel1.cshtml                                                                                9              4            101
./GameSpace/docs/dialogue.txt                                                                                                                28              0            101
./GameSpace/wwwroot/lib/social_hub/js/chat.js                                                                                                12              6            101
./GameSpace/Attributes/RBACAuthorizeAttribute.cs                                                                                             15             32             98
./GameSpace/Areas/Admin/Views/Shared/_Sidebar.cshtml                                                                                         21             24             97
./GameSpace/GameSpace.Models/UserReadModel.cs                                                                                                 8             24             95
./GameSpace/Areas/social_hub/Controllers/HomeController.cs                                                                                   22             12             93
./GameSpace/Areas/social_hub/Controllers/NotificationsController.cs                                                                          17             12             92
./GameSpace/Areas/Admin/Views/RBAC/EditManagerRole.cshtml                                                                                     8              0             91
./GameSpace/Areas/social_hub/Controllers/ChatController.cs                                                                                   19              4             91
./GameSpace/Areas/social_hub/Services/MuteFilter.cs                                                                                          17              0             89
./GameSpace/wwwroot/lib/sb-admin/register.html                                                                                                0              0             88
./GameSpace/GameSpace.Data/GameSpaceDbContext.cs                                                                                             17             18             87
./GameSpace/Views/Auth/Register.cshtml                                                                                                       13              0             82
./GameSpace/Models/OrderItem.cs                                                                                                               2              0             80
./GameSpace/Services/Caching/MemoryCacheService.cs                                                                                            8              4             79
./GameSpace/Middleware/GlobalExceptionMiddleware.cs                                                                                           9              4             78
./docs/WIP.md                                                                                                                                 4              0             77
./GameSpace/GameSpace.Api/Controllers/UsersController.cs                                                                                      6              0             76
